nr;bestilling_i_claude_artifact;levert_i_gpt_grafikk;manifestnokler;opphav
1a;figur_kasteren.png;hode_kasteren_f.png hode_kasteren_b.png hode_kasteren_s.png kropp_kasteren_f.png kropp_kasteren_b.png kropp_kasteren_s.png;hode_kasteren_f hode_kasteren_b hode_kasteren_s kropp_kasteren_f kropp_kasteren_b kropp_kasteren_s;gjenbrukt Kasteren-prøve
1b;figur_trille.png;hode_trille_f.png hode_trille_b.png hode_trille_s.png kropp_trille_f.png kropp_trille_b.png kropp_trille_s.png;hode_trille_f hode_trille_b hode_trille_s kropp_trille_f kropp_trille_b kropp_trille_s;innebygd ChatGPT-bildegenerator
1c;figur_speil.png;hode_speil_f.png hode_speil_b.png hode_speil_s.png kropp_speil_f.png kropp_speil_b.png kropp_speil_s.png;hode_speil_f hode_speil_b hode_speil_s kropp_speil_f kropp_speil_b kropp_speil_s;innebygd ChatGPT-bildegenerator
1d;figur_tannlege.png;hode_tannlege_f.png hode_tannlege_b.png hode_tannlege_s.png kropp_tannlege_f.png kropp_tannlege_b.png kropp_tannlege_s.png;hode_tannlege_f hode_tannlege_b hode_tannlege_s kropp_tannlege_f kropp_tannlege_b kropp_tannlege_s;innebygd ChatGPT-bildegenerator
1e;figur_portier.png;hode_portier_f.png hode_portier_b.png hode_portier_s.png kropp_portier_f.png kropp_portier_b.png kropp_portier_s.png;hode_portier_f hode_portier_b hode_portier_s kropp_portier_f kropp_portier_b kropp_portier_s;innebygd ChatGPT-bildegenerator
1f;ark__hjul_trille_f__vaapen_klump__glasskar__vaapen_tang__vaapen_knippe__portierhode__vaapen_gasskolbe__vaapen_skjemabunke__vaapen_stempelboss.png;hjul_trille_f.png vaapen_klump.png glasskar.png vaapen_tang.png vaapen_knippe.png portierhode.png vaapen_gasskolbe.png vaapen_skjemabunke.png vaapen_stempelboss.png;hjul_trille_f vaapen_klump glasskar vaapen_tang vaapen_knippe portierhode vaapen_gasskolbe vaapen_skjemabunke vaapen_stempelboss;innebygd ChatGPT-bildegenerator
2a;koret_kropp.png;koret_kropp.png;koret_kropp;innebygd ChatGPT-bildegenerator
2b;ark__koret_munn0__koret_munn1__koret_munn2__koret_ore0__koret_ore1__pupill.png;koret_munn0.png koret_munn1.png koret_munn2.png koret_ore0.png koret_ore1.png pupill.png;koret_munn0 koret_munn1 koret_munn2 koret_ore0 koret_ore1 pupill;innebygd ChatGPT-bildegenerator
2c;klumpen_kropp.png;klumpen_kropp.png;klumpen_kropp;innebygd ChatGPT-bildegenerator
2d;ark__klumpen_ansikt0__klumpen_ansikt1__klumpen_ansikt2__klumpen_ansikt3__klumpen_oye__klumpen_lue__blob_klumpunge_f__blob_klumpunge_b__blob_klumpunge_s.png;klumpen_ansikt0.png klumpen_ansikt1.png klumpen_ansikt2.png klumpen_ansikt3.png klumpen_oye.png klumpen_lue.png blob_klumpunge_f.png blob_klumpunge_b.png blob_klumpunge_s.png;klumpen_ansikt0 klumpen_ansikt1 klumpen_ansikt2 klumpen_ansikt3 klumpen_oye klumpen_lue blob_klumpunge_f blob_klumpunge_b blob_klumpunge_s;innebygd ChatGPT-bildegenerator
3a;anim_kastesprut.png;anim_kastesprut.png;anim_kastesprut;gjenbrukt Kasteren-prøve
3b;anim_blodsprut.png;anim_blodsprut.png;anim_blodsprut;innebygd ChatGPT-bildegenerator
3c;anim_kasteklump.png;anim_kasteklump.png;anim_kasteklump;gjenbrukt Kasteren-prøve
3d;anim_oye.png;anim_oye.png;anim_oye;innebygd ChatGPT-bildegenerator
3e;anim_kjottbiter.png;anim_kjottbiter.png;anim_kjottbiter;innebygd ChatGPT-bildegenerator
4a;ark__ui_hjerte_full__ui_hjerte_halv__ui_hjerte_tom__ui_ikon_journal__ui_ikon_pause.png;ui_hjerte_full.png ui_hjerte_halv.png ui_hjerte_tom.png ui_ikon_journal.png ui_ikon_pause.png;ui_hjerte_full ui_hjerte_halv ui_hjerte_tom ui_ikon_journal ui_ikon_pause;innebygd ChatGPT-bildegenerator
4b;ui_ring_portrett.png;ui_ring_portrett.png;ui_ring_portrett;innebygd ChatGPT-bildegenerator
4c;ui_ring_kart.png;ui_ring_kart.png;ui_ring_kart;innebygd ChatGPT-bildegenerator
4d;ui_panel.png;ui_panel.png;ui_panel;innebygd ChatGPT-bildegenerator
4e;ui_knapp.png;ui_knapp.png;ui_knapp;innebygd ChatGPT-bildegenerator
4f;ui_kort.png;ui_kort.png;ui_kort;innebygd ChatGPT-bildegenerator
4g;ui_skilt.png;ui_skilt.png;ui_skilt;innebygd ChatGPT-bildegenerator
4h;ui_utklipp.png;ui_utklipp.png;ui_utklipp;innebygd ChatGPT-bildegenerator
4i;ui_hode.png;ui_hode.png;ui_hode;innebygd ChatGPT-bildegenerator
5a;figur_gartner.png;hode_gartner_f.png hode_gartner_b.png hode_gartner_s.png kropp_gartner_f.png kropp_gartner_b.png kropp_gartner_s.png;hode_gartner_f hode_gartner_b hode_gartner_s kropp_gartner_f kropp_gartner_b kropp_gartner_s;innebygd ChatGPT-bildegenerator
5b;figur_huldra.png;hode_huldra_f.png hode_huldra_b.png hode_huldra_s.png kropp_huldra_f.png kropp_huldra_b.png kropp_huldra_s.png;hode_huldra_f hode_huldra_b hode_huldra_s kropp_huldra_f kropp_huldra_b kropp_huldra_s;innebygd ChatGPT-bildegenerator
5c;figur_vedkubbe.png;hode_vedkubbe_f.png hode_vedkubbe_b.png hode_vedkubbe_s.png kropp_vedkubbe_f.png kropp_vedkubbe_b.png kropp_vedkubbe_s.png;hode_vedkubbe_f hode_vedkubbe_b hode_vedkubbe_s kropp_vedkubbe_f kropp_vedkubbe_b kropp_vedkubbe_s;innebygd ChatGPT-bildegenerator
5d;figur_nokken.png;hode_nokken_f.png hode_nokken_b.png hode_nokken_s.png kropp_nokken_f.png kropp_nokken_b.png kropp_nokken_s.png;hode_nokken_f hode_nokken_b hode_nokken_s kropp_nokken_f kropp_nokken_b kropp_nokken_s;innebygd ChatGPT-bildegenerator
5e;figur_hekk.png;hode_hekk_f.png kropp_hekk_f.png;hode_hekk_f kropp_hekk_f;innebygd ChatGPT-bildegenerator
5f;hjort_kropp.png;hjort_kropp.png;hjort_kropp;innebygd ChatGPT-bildegenerator
5g;hjort_hode.png;hjort_hode.png;hjort_hode;innebygd ChatGPT-bildegenerator
5h;ark__kraake_kropp__kraake_vinge__blob_kaalhode_f__blob_kaalhode_b__blob_kaalhode_s__vaapen_hagesaks__vaapen_storsaks.png;kraake_kropp.png kraake_vinge.png blob_kaalhode_f.png blob_kaalhode_b.png blob_kaalhode_s.png vaapen_hagesaks.png vaapen_storsaks.png;kraake_kropp kraake_vinge blob_kaalhode_f blob_kaalhode_b blob_kaalhode_s vaapen_hagesaks vaapen_storsaks;innebygd ChatGPT-bildegenerator
