nr;liste;type;filnavn;mal;bilder;nokler
1a;Fiendene og minisjefene i sanatoriet;figurark;figur_kasteren.png;mal_figur.png;6;hode_kasteren_f hode_kasteren_b hode_kasteren_s kropp_kasteren_f kropp_kasteren_b kropp_kasteren_s
1b;Fiendene og minisjefene i sanatoriet;figurark;figur_trille.png;mal_figur.png;6;hode_trille_f hode_trille_b hode_trille_s kropp_trille_f kropp_trille_b kropp_trille_s
1c;Fiendene og minisjefene i sanatoriet;figurark;figur_speil.png;mal_figur.png;6;hode_speil_f hode_speil_b hode_speil_s kropp_speil_f kropp_speil_b kropp_speil_s
1d;Fiendene og minisjefene i sanatoriet;figurark;figur_tannlege.png;mal_figur.png;6;hode_tannlege_f hode_tannlege_b hode_tannlege_s kropp_tannlege_f kropp_tannlege_b kropp_tannlege_s
1e;Fiendene og minisjefene i sanatoriet;figurark;figur_portier.png;mal_figur.png;6;hode_portier_f hode_portier_b hode_portier_s kropp_portier_f kropp_portier_b kropp_portier_s
1f;Fiendene og minisjefene i sanatoriet;«ni ting»-ark;ark__hjul_trille_f__vaapen_klump__glasskar__vaapen_tang__vaapen_knippe__portierhode__vaapen_gasskolbe__vaapen_skjemabunke__vaapen_stempelboss.png;mal_ni_ting.png;9;hjul_trille_f vaapen_klump glasskar vaapen_tang vaapen_knippe portierhode vaapen_gasskolbe vaapen_skjemabunke vaapen_stempelboss
2a;Hviskekoret og Den Store Klumpen;enkeltbilde;koret_kropp.png;;1;koret_kropp
2b;Hviskekoret og Den Store Klumpen;«ni ting»-ark;ark__koret_munn0__koret_munn1__koret_munn2__koret_ore0__koret_ore1__pupill.png;mal_ni_ting.png;6;koret_munn0 koret_munn1 koret_munn2 koret_ore0 koret_ore1 pupill
2c;Hviskekoret og Den Store Klumpen;enkeltbilde;klumpen_kropp.png;;1;klumpen_kropp
2d;Hviskekoret og Den Store Klumpen;«ni ting»-ark;ark__klumpen_ansikt0__klumpen_ansikt1__klumpen_ansikt2__klumpen_ansikt3__klumpen_oye__klumpen_lue__blob_klumpunge_f__blob_klumpunge_b__blob_klumpunge_s.png;mal_ni_ting.png;9;klumpen_ansikt0 klumpen_ansikt1 klumpen_ansikt2 klumpen_ansikt3 klumpen_oye klumpen_lue blob_klumpunge_f blob_klumpunge_b blob_klumpunge_s
3a;Spriteark;spriteark;anim_kastesprut.png;;1;anim_kastesprut
3b;Spriteark;spriteark;anim_blodsprut.png;;1;anim_blodsprut
3c;Spriteark;spriteark;anim_kasteklump.png;;1;anim_kasteklump
3d;Spriteark;spriteark;anim_oye.png;;1;anim_oye
3e;Spriteark;spriteark;anim_kjottbiter.png;;1;anim_kjottbiter
4a;HUD og menyer;«ni ting»-ark;ark__ui_hjerte_full__ui_hjerte_halv__ui_hjerte_tom__ui_ikon_journal__ui_ikon_pause.png;mal_ni_ting.png;5;ui_hjerte_full ui_hjerte_halv ui_hjerte_tom ui_ikon_journal ui_ikon_pause
4b;HUD og menyer;UI-bilde;ui_ring_portrett.png;;1;ui_ring_portrett
4c;HUD og menyer;UI-bilde;ui_ring_kart.png;;1;ui_ring_kart
4d;HUD og menyer;UI-bilde;ui_panel.png;;1;ui_panel
4e;HUD og menyer;UI-bilde;ui_knapp.png;;1;ui_knapp
4f;HUD og menyer;UI-bilde;ui_kort.png;;1;ui_kort
4g;HUD og menyer;UI-bilde;ui_skilt.png;;1;ui_skilt
4h;HUD og menyer;UI-bilde;ui_utklipp.png;;1;ui_utklipp
4i;HUD og menyer;UI-bilde;ui_hode.png;;1;ui_hode
5a;Parken og Nattskogen: fiender og sjefer;figurark;figur_gartner.png;mal_figur.png;6;hode_gartner_f hode_gartner_b hode_gartner_s kropp_gartner_f kropp_gartner_b kropp_gartner_s
5b;Parken og Nattskogen: fiender og sjefer;figurark;figur_huldra.png;mal_figur.png;6;hode_huldra_f hode_huldra_b hode_huldra_s kropp_huldra_f kropp_huldra_b kropp_huldra_s
5c;Parken og Nattskogen: fiender og sjefer;figurark;figur_vedkubbe.png;mal_figur.png;6;hode_vedkubbe_f hode_vedkubbe_b hode_vedkubbe_s kropp_vedkubbe_f kropp_vedkubbe_b kropp_vedkubbe_s
5d;Parken og Nattskogen: fiender og sjefer;figurark;figur_nokken.png;mal_figur.png;6;hode_nokken_f hode_nokken_b hode_nokken_s kropp_nokken_f kropp_nokken_b kropp_nokken_s
5e;Parken og Nattskogen: fiender og sjefer;figurark;figur_hekk.png;mal_figur.png;2;hode_hekk_f kropp_hekk_f
5f;Parken og Nattskogen: fiender og sjefer;enkeltbilde;hjort_kropp.png;;1;hjort_kropp
5g;Parken og Nattskogen: fiender og sjefer;enkeltbilde;hjort_hode.png;;1;hjort_hode
5h;Parken og Nattskogen: fiender og sjefer;«ni ting»-ark;ark__kraake_kropp__kraake_vinge__blob_kaalhode_f__blob_kaalhode_b__blob_kaalhode_s__vaapen_hagesaks__vaapen_storsaks.png;mal_ni_ting.png;7;kraake_kropp kraake_vinge blob_kaalhode_f blob_kaalhode_b blob_kaalhode_s vaapen_hagesaks vaapen_storsaks
6a;Hendelsene;figurark;figur_baklengs.png;mal_figur.png;6;hode_baklengs_f hode_baklengs_b hode_baklengs_s kropp_baklengs_f kropp_baklengs_b kropp_baklengs_s
6b;Hendelsene;«ni ting»-ark;ark__prop_telefon__prop_kaffebord__prop_ku__prop_brennevin__prop_badekarmann__prop_heis__prop_rotter__prop_radiobord__prop_utedo.png;mal_ni_ting.png;9;prop_telefon prop_kaffebord prop_ku prop_brennevin prop_badekarmann prop_heis prop_rotter prop_radiobord prop_utedo
6c;Hendelsene;«ni ting»-ark;ark__prop_kubbekona__prop_tannfe__prop_tannglass__prop_lampemann__prop_lampemann_paa.png;mal_ni_ting.png;5;prop_kubbekona prop_tannfe prop_tannglass prop_lampemann prop_lampemann_paa
6d;Hendelsene;enkeltbilde;prop_damer.png;;1;prop_damer
6e;Hendelsene;enkeltbilde;prop_kjempe.png;;1;prop_kjempe
7a;Drømmene;figurark;figur_blank_m.png;mal_figur.png;6;hode_blank_m_f hode_blank_m_b hode_blank_m_s kropp_blank_m_f kropp_blank_m_b kropp_blank_m_s
7b;Drømmene;figurark;figur_ansikt_m.png;mal_figur.png;6;hode_ansikt_m_f hode_ansikt_m_b hode_ansikt_m_s kropp_ansikt_m_f kropp_ansikt_m_b kropp_ansikt_m_s
7c;Drømmene;figurark;figur_blank_k.png;mal_figur.png;6;hode_blank_k_f hode_blank_k_b hode_blank_k_s kropp_blank_k_f kropp_blank_k_b kropp_blank_k_s
7d;Drømmene;figurark;figur_ansikt_k.png;mal_figur.png;6;hode_ansikt_k_f hode_ansikt_k_b hode_ansikt_k_s kropp_ansikt_k_f kropp_ansikt_k_b kropp_ansikt_k_s
7e;Drømmene;«ni ting»-ark;ark__drom_vindu_sno__drom_vindu_rim__drom_vindu_regn__drom_vindu_brann__drom_vindu_taake__drom_vindu_klart__drom_dor__drom_dor_aapen__drom_dorlaast.png;mal_ni_ting.png;9;drom_vindu_sno drom_vindu_rim drom_vindu_regn drom_vindu_brann drom_vindu_taake drom_vindu_klart drom_dor drom_dor_aapen drom_dorlaast
